,FragmentsBitId,AvgNumNonHydrogenAtoms,StdNumNonHydrogenAtoms,countStrong,p-valueStrong,countWeak,p-valueWeak,countVeryWeak,p-valueVeryWeak,countLow,p-valueLow,countCyto,p-valueCyto,countNE,p-valueNE,hStrongBH,p-valueStrongBH,hWeakBH,p-valueWeakBH,hVeryWeakBH,p-valueVeryWeakBH,hLowBH,p-valueLowBH,hCytoBH,p-valueCytoBH,hNEBH,p-valueNEBH
56,56,9.571428571428571,2.770102775666474,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,7.0,0.30286265864686257,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
57,57,9.047619047619047,2.4971639242146466,0.0,1.0,2.0,0.14655133874500859,0.0,1.0,2.0,0.2505962678339675,0.0,1.0,17.0,0.7760984725981767,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
58,58,8.794117647058824,1.3672516822552305,0.0,1.0,3.0,0.37822936690195375,2.0,0.7078700813682097,6.0,0.09079990475203283,2.0,0.3069540845554748,55.0,0.8305417339897538,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
59,59,11.052631578947368,2.0124267678215957,1.0,0.3969633702786262,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.2698677475358752,17.0,0.4086252043716785,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
60,60,10.272727272727273,2.4896479886598457,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.4039003160754344,0.0,1.0,10.0,0.4663795994988261,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
61,61,10.0,2.6457513110645907,0.0,1.0,0.0,1.0,1.0,0.30655255867736503,0.0,1.0,2.0,0.011001377720764954,7.0,0.9425712130380458,False,1.0,False,1.0,False,1.0,False,1.0,False,0.5740336706274299,False,0.9999999986614704
62,62,7.048387096774194,3.8789232765859083,0.0,1.0,5.0,0.04934000901562441,2.0,0.6587357714432716,2.0,0.785209757267561,2.0,0.2703673794399078,51.0,0.7414710538097455,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
63,63,9.31578947368421,2.7539948319897114,0.0,1.0,1.0,0.46503795365117695,1.0,0.5014382622462508,0.0,1.0,0.0,1.0,17.0,0.4086252043716785,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
64,64,11.75,2.222048604328897,0.0,1.0,2.0,0.09285442896681242,0.0,1.0,0.0,1.0,0.0,1.0,14.0,0.5303954391412159,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
65,65,8.8,1.2489995996796797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,0.1814435761093124,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
66,66,8.96774193548387,2.1172695588931534,0.0,1.0,1.0,0.6399746832006382,3.0,0.09854318726788777,2.0,0.4198418706972934,1.0,0.40168879712235894,24.0,0.8996617416986564,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
67,67,7.9714285714285715,3.676067108712122,2.0,0.22388834426294577,2.0,0.30150528860101883,1.0,0.7126192114954751,4.0,0.06848448709714483,1.0,0.4307748836276548,24.0,0.988158273691992,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
68,68,9.642857142857142,3.6860188135544765,3.0,0.03595320968130448,2.0,0.22887710065388334,0.0,1.0,2.0,0.37054950193848174,1.0,0.371130671269253,20.0,0.9770526454491277,False,0.5675317285273173,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
69,69,5.6138613861386135,2.115339061976314,4.0,0.779292468167189,5.0,0.7852729447357321,4.0,0.9353413145297576,13.0,0.13293166140368434,7.0,0.046534371414103624,168.0,0.6584437269887783,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9699989074410608,False,0.9999999986614704
70,70,9.833333333333334,2.1921577396609844,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,0.35924409854791134,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
71,71,8.290322580645162,2.5551156578468195,0.0,1.0,0.0,1.0,1.0,0.679111794023517,1.0,0.7678128373850883,0.0,1.0,29.0,0.1149373268957717,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
72,72,9.307692307692308,2.8388680134224513,0.0,1.0,2.0,0.06426041303961993,1.0,0.3787441676615472,2.0,0.11745830011026549,0.0,1.0,8.0,0.9906786802975831,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
73,73,9.31578947368421,1.2162336850832993,0.0,1.0,4.0,0.002814427218233774,0.0,1.0,1.0,0.591043574325074,0.0,1.0,14.0,0.9357767374487436,False,1.0,False,0.4640936577764785,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
74,74,9.714285714285714,2.2707845747745456,1.0,0.4128280110662763,1.0,0.4823902352798669,0.0,1.0,0.0,1.0,0.0,1.0,18.0,0.372277812970285,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
75,75,7.554545454545455,1.195342200044243,3.0,0.5426093931040776,6.0,0.1365472898625515,1.0,0.9813778530539085,1.0,0.9940086153812965,2.0,0.5321878014426538,95.0,0.18081997541135955,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
76,76,6.615384615384615,2.1075612910804633,2.0,0.27282773900995033,2.0,0.3612204921083887,1.0,0.7608985098586504,1.0,0.8408911883020094,0.0,1.0,33.0,0.5865343442315547,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
77,77,9.382352941176471,2.980472780127271,1.0,0.5959046970268802,1.0,0.673948302306116,0.0,1.0,2.0,0.46709860904300493,1.0,0.4307748836276548,29.0,0.5532220355820656,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999986614704
